Date,Open,High,Low,Close,Volume
04-12-2023,3533.05,3545,3499,3509.6499,48292
05-12-2023,3537,3537,3503,3529.8999,77724
06-12-2023,3530.45,3612.3999,3526.8999,3603.3501,48863
07-12-2023,3616.95,3631,3592.3501,3616.7,37043
08-12-2023,3620.1499,3644,3601.1499,3626.3999,274344
11-12-2023,3626.3999,3652.7,3623,3642.2,22168
12-12-2023,3640,3699,3632.2,3672.05,77392
13-12-2023,3641,3650,3563.05,3593.75,115769
14-12-2023,3620.25,3676.3501,3620.25,3666.6001,246373
15-12-2023,3660.2,3894.05,3660.2,3860.05,272428
18-12-2023,3860,3928.95,3831.2,3858,73334
19-12-2023,3841.3999,3852,3791,3812.1001,54142
20-12-2023,3821.6001,3898.8501,3768,3780.3501,60720
21-12-2023,3734.3999,3805,3734.3999,3789.45,90556
22-12-2023,3796.3,3845.95,3762.7,3825.3,127163
26-12-2023,3780.1001,3833.8501,3780.1001,3794.6001,70216
27-12-2023,3795.55,3818,3768.1001,3810.8,28290
28-12-2023,3822.1001,3838.25,3793.75,3801.05,29256
29-12-2023,3797.8501,3822.95,3766.05,3794.95,105711
01-01-2024,3792,3831.8999,3772.8,3810.6001,68853
02-01-2024,3814.3999,3814.3999,3766.45,3783.25,28298
03-01-2024,3770,3770,3688.2,3691.55,101894
04-01-2024,3700,3719.1499,3651.55,3667,113458
05-01-2024,3671.2,3746.8999,3671.2,3737.75,226503
08-01-2024,3737.75,3738.1499,3671.05,3677.7,26313
09-01-2024,3718.8501,3752.1001,3683.1499,3690.1499,87204
10-01-2024,3690.1499,3730,3688,3713.7,99268
11-01-2024,3723,3772,3708,3736.2,205186
12-01-2024,3843.95,3905.75,3820.6001,3881.7,1168288
15-01-2024,3952.45,3965,3885,3902.3999,89116
